% 1. Title: NERD ranker with basic and embeddings features 
%
% 2. Sources: 
% (a) Creator: (N)ERD 
% (c) Date: 14-01-2023 14:43:26 
%
@RELATION @NERD_NERD_ranker_with_basic_and_embeddings_features 
@attribute relatedness REAL
@attribute context_quality REAL
@attribute bestCaseContext {false, true}
@attribute embeddings_centroid_similarity REAL
@attribute entity? REAL

@data

0.0,7.136335938860192,true,0.0,0.0
0.0,7.136335938860192,true,0.0,1.0
0.0,7.136335938860192,true,0.0,0.0
0.0,7.136335938860192,true,0.0,1.0
0.09312980827339629,7.136335938860192,true,0.0,0.0
0.0,7.136335938860192,true,0.0,1.0
0.0,7.136335938860192,true,0.0,0.0
0.0,7.136335938860192,true,0.0,1.0
0.09312980827339629,7.136335938860192,true,0.0,0.0
0.0,7.136335938860192,true,0.0,1.0
0.06100599939683956,7.136335938860192,true,0.0,0.0
0.0,7.136335938860192,true,0.0,1.0
0.0,7.136335938860192,true,0.0,0.0
0.2588563453718422,7.136335938860192,true,0.0,1.0
0.018457821258196432,7.136335938860192,true,0.0,0.0
0.0,7.136335938860192,true,0.0,1.0
0.0,7.136335938860192,true,0.0,0.0
0.0,7.136335938860192,true,0.0,1.0
0.028742774675074433,7.136335938860192,true,0.0,0.0
0.28004624569133274,7.136335938860192,true,0.0,1.0
0.0586262132180354,7.136335938860192,true,0.0,0.0
0.0,7.136335938860192,true,0.0,1.0
0.03761186096995439,7.136335938860192,true,0.0,0.0
0.0,7.136335938860192,true,0.0,1.0
0.028742774675074433,7.136335938860192,true,0.0,0.0
0.0,7.136335938860192,true,0.0,1.0
0.0,7.136335938860192,true,0.0,0.0
0.28004624569133274,7.136335938860192,true,0.0,1.0
0.0586262132180354,7.136335938860192,true,0.0,0.0
0.0,7.136335938860192,true,0.0,1.0
0.09312980827339629,7.136335938860192,true,0.0,0.0
0.0,7.136335938860192,true,0.0,1.0
0.0,7.136335938860192,true,0.0,0.0
0.0,7.136335938860192,true,0.0,1.0
0.09312980827339629,7.136335938860192,true,0.0,0.0
0.0,7.136335938860192,true,0.0,1.0
0.014931296038868032,7.136335938860192,true,0.0,0.0
0.0,7.136335938860192,true,0.0,1.0
0.06100599939683956,7.136335938860192,true,0.0,0.0
0.09256274633301104,7.136335938860192,true,0.0,1.0
0.061836616029429685,7.136335938860192,true,0.0,0.0
0.0,7.136335938860192,true,0.0,1.0
0.09312980827339629,7.136335938860192,true,0.0,0.0
0.0,7.136335938860192,true,0.0,1.0
0.06100599939683956,7.136335938860192,true,0.0,0.0
0.0,7.136335938860192,true,0.0,1.0
0.0,7.136335938860192,true,0.0,0.0
0.0,7.136335938860192,true,0.0,1.0
0.09312980827339629,7.136335938860192,true,0.0,0.0
